Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
T3ddy,16200000,2990185467.0,1930,Brazil,People,99000.0,849500.0,1600000.0
JJ Olatunji,16200000,4076692623.0,1294,United Kingdom,Entertainment,83400.0,691700.0,1300000.0
POPS Kids,16200000,9763592867.0,3943,Vietnam,Film,770200.0,6535100.0,12300000.0
Thairath Online,16200000,14563841315.0,244899,Thailand,News,674300.0,5737150.0,10800000.0
LEGO,16200000,20522339099.0,31889,Singapore,Entertainment,351600.0,2975800.0,5600000.0
XO TEAM,16200000,14784781923.0,189,United States,People,114.0,957.0,1800.0
AdMe,16200000,4488680903.0,10,Spain,Music,0.01,0.1,0.19
ExtraPolinesios,16200000,4813127504.0,2,Unknown,People,2.0,13.0,24.0
Dyland PROS,16100000,1517638132.0,2805,Indonesia,Games,28900.0,245300.0,461700.0
Live,16100000,0.0,0,Unknown,,0.0,0.0,0.0
Vlad and Niki ARA,16100000,7399296005.0,510,United States,Entertainment,96000.0,798000.0,1500000.0
Canal IN,16100000,2687443643.0,723,Brazil,Entertainment,41400.0,351950.0,662500.0
TWICE,16100000,5055576881.0,1123,Unknown,Music,296200.0,2498100.0,4700000.0
Daily Dose Of Internet,16100000,6872702790.0,671,United States,Entertainment,1200000.0,10200000.0,19200000.0
FitDance,16100000,7126210721.0,41,France,Entertainment,2.0,19.5,37.0
Panda Shorts,16100000,7155736006.0,667,Sweden,Sports,1400000.0,12200000.0,23000000.0
Disney Junior,16100000,15812009296.0,4045,United States,Entertainment,801400.0,6800700.0,12800000.0
La Rosa de Guadalupe,16100000,9642146451.0,0,Mexico,Games,0.0,0.0,0.0
sagar kalra (Shorts),16000000,6543629679.0,453,Unknown,People,222200.0,1911100.0,3600000.0
wifistudy,16000000,3018032423.0,52144,India,Education,42900.0,364350.0,685800.0
Antrax,16000000,3029872908.0,687,Mexico,Games,14100.0,119800.0,225500.0
Enes Batur,16000000,9786595271.0,0,Unknown,Games,0.0,0.0,0.0
Totoy kids - Espaï¿½ï,16000000,5997599089.0,344,Mexico,Film,337200.0,2868600.0,5400000.0
ýýýýýýýýýý,15900000,1845329502.0,0,Russia,Games,0.0,0.0,0.0
DopeLyrics,15900000,9962188084.0,2035,United States,Music,29700.0,252800.0,475900.0
jeffreestar,15900000,2609358468.0,433,United States,Howto,6000.0,51150.0,96300.0
Lyna,15900000,6534326412.0,4906,Argentina,Games,192300.0,1646150.0,3100000.0
MK MUSIC,15900000,9198986881.0,5105,Brazil,Music,409200.0,3454600.0,6500000.0
Unspeakable,15900000,9052367553.0,796,United States,People,494700.0,4197350.0,7900000.0
Camilo,15900000,6802382479.0,132,Colombia,Music,179700.0,1539850.0,2900000.0
Dear Sir,15800000,1349288771.0,633,India,Education,72200.0,636100.0,1200000.0
Narendra Modi,15800000,3392918989.0,20679,India,News,557900.0,4728950.0,8900000.0
Arif muhammad,15800000,4122634467.0,542,Indonesia,Comedy,215600.0,1807800.0,3400000.0
Rotten Tomatoes Trailers,15800000,13116313599.0,10441,United States,Film,77200.0,638600.0,1200000.0
Volga Video,15700000,9787697838.0,16874,India,Entertainment,153900.0,1326950.0,2500000.0
DM - Desi Melodies,15700000,5914071870.0,79,India,Music,425500.0,3612750.0,6800000.0
MY FAMILY,15700000,6153495609.0,150,Singapore,People,2800.0,23950.0,45100.0
Team Films Bhojpuri,15700000,6626563508.0,19703,India,Music,92200.0,796100.0,1500000.0
Zee Music Classic,15700000,5558051295.0,1640,India,Music,259300.0,2179650.0,4100000.0
Prime Video India,15700000,8696631898.0,7090,United States,Entertainment,1000000.0,8550000.0,16100000.0
Caeli YT,15600000,1511794214.0,483,Mexico,Entertainment,0.0,0.0,0.0
Kuplinov ï¿½ï¿½ï¿,15600000,6862529416.0,6623,Unknown,Games,296000.0,2498000.0,4700000.0
Linus Tech Tips,15600000,7172386509.0,6542,Canada,Tech,264700.0,2232350.0,4200000.0
Juliana Baltar,15600000,3869457097.0,2019,Brazil,Entertainment,168700.0,1434350.0,2700000.0
5-Minute Crafts FAMILY,15600000,6165757696.0,4245,United States,Howto,82100.0,691050.0,1300000.0
Blippi Espaï¿½ï,15500000,8984089026.0,598,Mexico,Education,270000.0,2285000.0,4300000.0
Super Senya,15500000,5070970714.0,0,Unknown,,0.0,0.0,0.0
Katakit Baby TV,15500000,6386271870.0,220,Saudi Arabia,Music,272700.0,2336350.0,4400000.0
Infobells Bangla,15500000,7776706184.0,359,India,Education,503700.0,4301850.0,8100000.0
ýýýýýýýý ýý ýýýýýýýý,15500000,8265129639.0,1021,Saudi Arabia,Film,405100.0,3452550.0,6500000.0
Henrique e Juliano,15500000,14619523361.0,325,Brazil,Music,491000.0,4195500.0,7900000.0
Mr DegrEE,15500000,12880388253.0,0,United States,Entertainment,0.0,0.0,0.0
Kashvi Adlakha,15500000,12714141740.0,1525,India,Entertainment,417400.0,3558700.0,6700000.0
Talking Tom & Friends,15500000,6396049701.0,417,United States,Film,82100.0,691050.0,1300000.0
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,15500000,4499826716.0,5183,Egypt,Howto,98700.0,849350.0,1600000.0
Harsh Beniwal,15400000,1781226000.0,165,India,Comedy,83900.0,691950.0,1300000.0
FFUNTV,15400000,11513738907.0,379,United Arab Emirates,Entertainment,240500.0,2020250.0,3800000.0
Mobile Legends: Bang Bang,15400000,1543608082.0,1647,United States,Games,166100.0,1433050.0,2700000.0
Roman Atwood Vlogs,15400000,5469103954.0,1756,United States,People,4700.0,40350.0,76000.0
Mrwhosetheboss,15400000,3736069980.0,1577,United Kingdom,Tech,503100.0,4251550.0,8000000.0
Genierock,15400000,14564170905.0,1725,Thailand,Music,248400.0,2124200.0,4000000.0
zayn,15400000,4909687948.0,21,United States,Music,110400.0,955200.0,1800000.0
Kerajinan 5-Menit,15400000,4750420071.0,4186,Indonesia,Howto,59200.0,503350.0,947500.0
FC Barcelona,15300000,2656528205.0,10988,Spain,Sports,254600.0,2177300.0,4100000.0
Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606.0,851,United States,Education,231200.0,1965600.0,3700000.0
LOKESH GAMER,15300000,1640078055.0,1397,India,Games,17800.0,151000.0,284200.0
ILYA BORZOV,15300000,9938811455.0,2175,Russia,People,1400000.0,12100000.0,22800000.0
Mazhavil Manorama,15300000,16545966132.0,87864,India,Entertainment,1100000.0,9250000.0,17400000.0
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15200000,857725714.0,194,India,Film,196100.0,1648050.0,3100000.0
The MriDul,15200000,4503880875.0,106,India,Comedy,295000.0,2497500.0,4700000.0
Niana Guerrero,15200000,1491452935.0,443,Philippines,Entertainment,29900.0,254450.0,479000.0
SRK MUSIC,15200000,6391679636.0,5056,India,Music,173400.0,1486700.0,2800000.0
Sony LIV,15200000,7151683497.0,11099,India,Entertainment,632700.0,5366350.0,10100000.0
T-Series Hamaar Bhojpuri,15200000,7564652648.0,9862,India,Music,317900.0,2708950.0,5100000.0
Oyuncak Avï¿,15200000,8333387785.0,654,Turkey,Entertainment,13300.0,112900.0,212500.0
CNN,15200000,14198154095.0,160405,United States,News,561000.0,4780500.0,9000000.0
NDTV India,15200000,6624168155.0,91704,India,News,149000.0,1274500.0,2400000.0
It's Mamix,15100000,1777072487.0,210,United States,People,48000.0,407600.0,767200.0
Kim Loaiza,15100000,1576633086.0,18,Unknown,Music,78200.0,689100.0,1300000.0
Daftar Populer,15100000,2143140898.0,3810,Indonesia,Entertainment,51700.0,439400.0,827100.0
Musas,15100000,2400037562.0,159,Andorra,People,0.26,2.13,4.0
Ranz Kyle,15100000,1760131384.0,533,Philippines,Entertainment,37100.0,315550.0,594000.0
PowerfulJRE,15100000,3060202847.0,1037,United States,People,130200.0,1115100.0,2100000.0
Mariale,15100000,2761547758.0,2618,United States,Entertainment,35900.0,304900.0,573900.0
Makiman131,15100000,4236036141.0,2997,Spain,Entertainment,17900.0,152250.0,286600.0
Hongyu ASMR ï¿½ï¿½,15100000,4967784343.0,1,Unknown,People,0.0,0.0,0.0
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15100000,5324913850.0,753,Egypt,Entertainment,138200.0,1169100.0,2200000.0
EdisonPts,15100000,6668507856.0,3733,Russia,Games,286800.0,2443400.0,4600000.0
BIGBANG,15100000,7857371770.0,776,South Korea,Music,122400.0,1061200.0,2000000.0
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15100000,9477021288.0,921,Argentina,Comedy,1500000.0,13050000.0,24600000.0
ABS-CBN News,15100000,10489367372.0,209520,Philippines,News,544900.0,4622450.0,8700000.0
Chapitosiki,15100000,13897932103.0,2717,Russia,Entertainment,2100000.0,18150000.0,34200000.0
AdeleVEVO,15100000,12413869881.0,52,United Kingdom,Music,254300.0,2177150.0,4100000.0
MoreAliA,15000000,4352427049.0,2324,United Kingdom,Games,753000.0,6376500.0,12000000.0
Chetan Monga Vlogs,15000000,9924103188.0,899,India,People,340700.0,2920350.0,5500000.0
Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15000000,8897705695.0,795,Brazil,Education,436400.0,3718200.0,7000000.0
League of Legends,15000000,7159750970.0,1362,United States,Games,129400.0,1114700.0,2100000.0
TheRichest,15000000,2730879024.0,0,United States,Games,0.0,0.0,0.0
XpressTV,15000000,4008801873.0,724,Mexico,Entertainment,101600.0,850800.0,1600000.0
PlayStation,15000000,4741434420.0,20292,United States,Games,125400.0,1062700.0,2000000.0
Kwebbelkop,15000000,6889304306.0,5198,United States,Film,89200.0,744600.0,1400000.0
Republic Bharat,15000000,7536093065.0,206,India,News,3.0,25.5,48.0
THE BROWN SIBLINGS,15000000,8658553456.0,965,India,Entertainment,307100.0,2603550.0,4900000.0
Sony Music South,15000000,9978734160.0,2726,India,Music,726600.0,6163300.0,11600000.0
BigSchool,15000000,9996133066.0,68,Unknown,Film,0.0,0.0,0.0
Ray William Johnson,15000000,10239836582.0,1803,United States,Comedy,938600.0,7969300.0,15000000.0
KOMPASTV,15000000,11827310821.0,269050,Indonesia,News,339200.0,2869600.0,5400000.0
ISSEI / ï¿½ï¿½ï¿½ï¿½,15000000,13562853889.0,1788,Japan,Comedy,847100.0,7223550.0,13600000.0
Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15000000,11506702632.0,340,Brazil,Music,548600.0,4674300.0,8800000.0
A2 Motivation by Arvind Arora,15000000,8932038210.0,3168,India,Entertainment,392200.0,3346100.0,6300000.0
50 Cent,14900000,10069000444.0,419,United States,Music,359400.0,3079700.0,5800000.0
MNCTV OFFICIAL,14900000,8074260978.0,66362,Indonesia,Entertainment,130700.0,1115350.0,2100000.0
ERB,14900000,4033400167.0,86,United States,Entertainment,33100.0,281600.0,530100.0
melanie martinez,14900000,4395184343.0,127,United States,Music,169100.0,1434550.0,2700000.0
iTownGamePlay *Terror&Diversiï¿½ï,14900000,4977284539.0,8420,Spain,Games,41600.0,353400.0,665200.0
ýýýýýýýýýýýý8 : Thai Ch8,14900000,5549770244.0,27944,Thailand,Entertainment,148700.0,1274350.0,2400000.0
ZutiGang,14900000,15913320995.0,1363,Unknown,People,1000000.0,8800000.0,16600000.0
ýýýýýý,14900000,439098.0,1,Russia,News,23.0,196.0,369.0
TazerCraft,14900000,5956193599.0,4175,Brazil,Games,119300.0,1009650.0,1900000.0
Bayashi TV,14900000,8615618825.0,93,Japan,Autos,7.0,63.0,119.0
Fueled By Ramen,14800000,13356517783.0,1210,United States,Entertainment,183600.0,1541800.0,2900000.0
CrashCourse,14800000,1833519700.0,1481,United States,Education,21500.0,183000.0,344500.0
MattyBRaps,14800000,3587576784.0,195,United States,Music,68900.0,584450.0,1100000.0
Lachlan,14800000,5269059435.0,3834,Australia,Games,63200.0,531600.0,1000000.0
ýýýýýýýý ýýýýýýýý,14800000,7018015062.0,2387,Ukraine,Howto,141400.0,1220700.0,2300000.0
Meghan Trainor,14800000,8649303688.0,233,United States,Music,154900.0,1327450.0,2500000.0
Jorge & Mateus Oficial,14800000,9076642765.0,318,Brazil,Music,264400.0,2232200.0,4200000.0
Major Lazer Official,14800000,9383431376.0,0,Unknown,,0.0,0.0,0.0
Beast Philanthropy,14800000,272678287.0,34,Germany,Games,114.0,957.0,1800.0
Filaretiki,14800000,15788208522.0,2222,United States,People,3600000.0,30700000.0,57800000.0
5-Minute Crafts Recycle,14800000,8866012877.0,3867,United States,Howto,159500.0,1379750.0,2600000.0
ýýýýýýýýýý ýýýýýýýýýýýý,14700000,2230986039.0,1385,Saudi Arabia,Entertainment,8100.0,68700.0,129300.0
Maha Fun Tv,14700000,1321380490.0,85,United States,Entertainment,14300.0,121900.0,229500.0
Canal Nostalgia,14700000,1506796393.0,554,Spain,Entertainment,679.0,5789.5,10900.0
The Slow Mo Guys,14700000,2465473772.0,317,United States,Education,56900.0,483950.0,911000.0
StudyIQ IAS,14700000,4029253667.0,43564,India,Education,223400.0,1911700.0,3600000.0
Chad Wild Clay,14700000,6751985988.0,698,United States,Entertainment,109000.0,904500.0,1700000.0
CollegeHumor,14700000,7255848125.0,4340,United States,Comedy,0.0,0.0,0.0
Netflix Jr.,14700000,8882319696.0,1996,United States,Education,238200.0,2019100.0,3800000.0
Colors Rishtey,14700000,12362331529.0,23490,India,Entertainment,1000000.0,8850000.0,16700000.0
ABC News,14700000,12961669452.0,80830,United States,News,557100.0,4728550.0,8900000.0
Camila Loures,14700000,4684983333.0,3978,Brazil,Entertainment,122900.0,1061450.0,2000000.0
Doc Tops,14600000,2613197447.0,490,Ecuador,Entertainment,49200.0,418400.0,787600.0
Auron,14600000,3337074920.0,961,Spain,Games,181700.0,1540850.0,2900000.0
Jesser,14600000,3603556207.0,1244,United States,Entertainment,277800.0,2338900.0,4400000.0
Planeta das Gï¿½ï¿½,14600000,4622581344.0,951,Brazil,Entertainment,31600.0,268950.0,506300.0
PrestonPlayz,14600000,5766647017.0,4009,United States,Entertainment,455100.0,3877550.0,7300000.0
Martin Garrix,14600000,6017932195.0,365,United States,Music,106600.0,903300.0,1700000.0
O Reino Infantil,14600000,11182302317.0,1206,Brazil,Music,329600.0,2814800.0,5300000.0
Fifth Harmony,14600000,7952268926.0,67,United States,Music,112900.0,956450.0,1800000.0
Mis Pastelitos,14600000,2750902766.0,603,Mexico,Music,152000.0,1276000.0,2400000.0
Noman Official,14600000,5525773746.0,560,India,Film,417300.0,3558650.0,6700000.0
LEGENDA FUNK,14500000,2440718089.0,0,Brazil,Music,0.0,0.0,0.0
Like Nastya Stories,14500000,6944967581.0,479,United States,Entertainment,89800.0,744900.0,1400000.0
les boys tv2,14500000,4577292740.0,453,United States,Film,1300.0,11450.0,21600.0
Lotus Music,14500000,1739129375.0,514,India,Tech,69100.0,584550.0,1100000.0
IDEIAS INCRï¿½ï¿½,14500000,3551889957.0,5430,Brazil,Howto,8500.0,72350.0,136200.0
Reaction Time,14500000,4260187928.0,1717,United States,Entertainment,29700.0,252700.0,475700.0
BBC News,14500000,4598387043.0,18972,United Kingdom,News,198800.0,1699400.0,3200000.0
Eli Kids - Cartoons & Songs,14500000,4821183481.0,605,United States,Music,447700.0,3823850.0,7200000.0
Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,5014888374.0,618,South Korea,People,14900.0,126500.0,238100.0
Aadishakti Films,14500000,6290721701.0,4790,India,Music,145300.0,1222650.0,2300000.0
Telemundo,14500000,8582696157.0,19201,United States,Entertainment,144900.0,1222450.0,2300000.0
GMM25Thailand,14500000,9383692066.0,68606,Thailand,Entertainment,136900.0,1168450.0,2200000.0
TV9 Bharatvarsh,14500000,10303519926.0,293516,India,News,1300000.0,10700000.0,20100000.0
Maroon5VEVO,14500000,20042571499.0,147,United States,Music,294600.0,2497300.0,4700000.0
Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,4315486422.0,176,Morocco,Music,112700.0,956350.0,1800000.0
Hear This Music,14500000,9201428420.0,39,Unknown,Music,144600.0,1222300.0,2300000.0
Lilly Singh,14500000,3517662420.0,1064,Canada,Comedy,16000.0,135900.0,255800.0
ýýýýýýýýýýýýýýýýýýýýý,14400000,600154268.0,364,South Korea,Entertainment,4100.0,34900.0,65700.0
Gyan Gamingï¿½,14400000,2224121890.0,3086,India,Games,41700.0,354250.0,666800.0
Drawblogs,14400000,1629801448.0,399,Peru,Entertainment,3000.0,25550.0,48100.0
NOBRU,14400000,351763324.0,2,Unknown,People,0.01,0.055,0.1
ýýýýýýýýýýýý ýýýýýýýýýýýý I ýýýýýý ýý ýýýýýýýýýý,14400000,2972474215.0,381,Saudi Arabia,Entertainment,14000.0,119150.0,224300.0
Cyprien,14400000,3086254545.0,222,France,Comedy,34300.0,291150.0,548000.0
Rclbeauty101,14400000,3900312631.0,463,United States,Entertainment,25900.0,220200.0,414500.0
Coke Studio,14400000,4035738731.0,450,United States,Music,10700.0,90700.0,170700.0
Indore Physical Academy,14400000,4156427797.0,1838,India,People,211200.0,1805600.0,3400000.0
Rosanna Pansino,14400000,4597228794.0,1248,United States,Howto,80000.0,690000.0,1300000.0
Harry Styles,14400000,5689224452.0,0,United States,Games,0.0,0.0,0.0
Vlad and Niki PRT,14400000,6543282459.0,516,United States,Entertainment,120300.0,1010150.0,1900000.0
RS 1313 SHORTS,14400000,8011977288.0,5628,India,Entertainment,637900.0,5418950.0,10200000.0
Zig & Sharko,14400000,9023952946.0,978,Unknown,Film,188100.0,1594050.0,3000000.0
SelenaGomezVEVO,14400000,11423792969.0,186,United States,Music,266000.0,2283000.0,4300000.0
ZEE5,14400000,18515587421.0,101401,India,Entertainment,449400.0,3824700.0,7200000.0
Super Polina,14300000,4776507159.0,576,United States,Entertainment,1200.0,10550.0,19900.0
Rebecca Zamolo,14300000,6388439235.0,1,United States,Entertainment,0.0,0.0,0.0
Wish 107.5,14200000,6048517979.0,1823,Philippines,Music,188000.0,1594000.0,3000000.0
Invento na Hora,14200000,4040297006.0,1281,Brazil,Entertainment,57100.0,485250.0,913400.0
SIS vs BRO,14200000,6973932553.0,60,Ukraine,Entertainment,0.32,2.66,5.0
NikkieTutorials,14200000,1778318927.0,876,Netherlands,Entertainment,107800.0,903900.0,1700000.0
TommyInnit,14200000,2084791147.0,342,United Kingdom,Games,162900.0,1381450.0,2600000.0
E-MasterSensei,14200000,3920559552.0,1300,Mexico,Games,133700.0,1116850.0,2100000.0
infobells - Kannada,14200000,6554000320.0,433,India,Education,425100.0,3612550.0,6800000.0
Crazy Frog,14200000,7946322061.0,0,Unknown,Games,0.0,0.0,0.0
The Dodo,14200000,9964116817.0,8,Unknown,,22.0,184.0,346.0
SEVENGERS,14200000,10238593147.0,872,India,Comedy,1100000.0,9400000.0,17700000.0
Zee Bangla,14200000,11428794827.0,132398,India,Entertainment,179800.0,1539900.0,2900000.0
DangMattSmith,14200000,3317805543.0,1724,United States,Entertainment,38700.0,329000.0,619300.0
Neha Kakkar,14100000,2131548711.0,149,India,Music,76800.0,638400.0,1200000.0
#Refugio Mental,14100000,3594936775.0,846,Unknown,Entertainment,20800.0,177000.0,333200.0
ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,14100000,3920221322.0,65,Unknown,,61.0,519.0,977.0
Trap City,14100000,5129529846.0,3,Australia,People,0.44,3.72,7.0
Supercar Blondie,14100000,5405563355.0,855,United Arab Emirates,Autos,1100000.0,9050000.0,17000000.0
Yudist Ardhana,14100000,6036496916.0,2854,Indonesia,Entertainment,528200.0,4514100.0,8500000.0
Lana Del Rey,14100000,6884215292.0,43,United States,Music,406700.0,3453350.0,6500000.0
MalumaVEVO,14100000,19013942981.0,182,United States,Music,296500.0,2498250.0,4700000.0
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927.0,777,United Kingdom,Sports,30700.0,260650.0,490600.0
Bie The Ska,14100000,4627069704.0,1540,Thailand,Entertainment,37500.0,318800.0,600100.0
AM3NlC,14000000,4959982720.0,5757,Brazil,People,30600.0,260350.0,490100.0
Narins Beauty,14000000,2214167846.0,431,Sweden,Entertainment,41100.0,349550.0,658000.0
TV Ana Emilia,14000000,4674164601.0,651,Mexico,Entertainment,80300.0,690150.0,1300000.0
ýýýýýýýýýýýý,14000000,7719743112.0,2210,Russia,Games,451700.0,3825850.0,7200000.0
Luli Pampï¿½,14000000,8623705301.0,294,Spain,Music,605000.0,5152500.0,9700000.0
Gallina Pintadita,14000000,9660950823.0,62,Mexico,Film,211900.0,1805950.0,3400000.0
ViralHog,14000000,18917687143.0,41117,United States,Animals,4100000.0,34800000.0,65500000.0
ETV Jabardasth,14000000,13542939513.0,9652,India,Comedy,400800.0,3400400.0,6400000.0
Zee Telugu,14000000,12597067132.0,3,India,Music,0.02,0.18000000000000002,0.34
Crescendo com Luluca,14000000,5094050461.0,1307,Brazil,People,204200.0,1752100.0,3300000.0
Jazzghost,13900000,5673347763.0,5494,Brazil,Games,320200.0,2710100.0,5100000.0
karameeshchannel,13900000,9106781518.0,2254,Jordan,Music,262900.0,2231450.0,4200000.0
Darkar Company Studios,13900000,2244318380.0,183,United States,Comedy,13800.0,117250.0,220700.0
Dental Digest,13900000,7450345720.0,324,Unknown,People,694700.0,5897350.0,11100000.0
T-Series Regional,13900000,5217553897.0,15075,India,Music,100500.0,850250.0,1600000.0
ADEL et SAMI,13900000,5465532801.0,503,United States,Entertainment,80600.0,690300.0,1300000.0
Jamuna TV,13900000,12129583055.0,6,Bangladesh,Entertainment,0.0,0.025,0.05
Atlantic Records,13900000,12513842343.0,1660,United States,Music,291900.0,2495950.0,4700000.0
ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,8451754769.0,504,United States,People,342800.0,2921400.0,5500000.0
Veritasium,13900000,2165885634.0,369,United States,Education,132400.0,1116200.0,2100000.0
Alexa Rivera,13900000,3193226072.0,288,Unknown,Entertainment,428300.0,3664150.0,6900000.0
Airrack,13800000,2224911030.0,173,United States,Entertainment,299000.0,2549500.0,4800000.0
Hacksmith Industries,13800000,1820559912.0,887,Canada,Tech,251800.0,2125900.0,4000000.0
JD Pantoja,13800000,1493776391.0,16,Unknown,Music,40600.0,345100.0,649600.0
ýýýýýýýý/Atro,13800000,2480957682.0,1952,Netherlands,Games,165400.0,1382700.0,2600000.0
123 GO! Spanish,13800000,5019136690.0,520,Mexico,Howto,79600.0,689800.0,1300000.0
Geo News,13800000,5727888539.0,190093,Pakistan,News,300200.0,2550100.0,4800000.0
Kids TV India Hindi Nursery Rhymes,13800000,6646953396.0,1505,India,Education,236000.0,2018000.0,3800000.0
Think Music India,13800000,11039343563.0,4978,India,Music,651300.0,5525650.0,10400000.0
O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734.0,696,Brazil,Entertainment,263400.0,2231700.0,4200000.0
Goldmines Premiere,13700000,1973638757.0,975,India,Film,112900.0,956450.0,1800000.0
MAIKI021,13700000,1950178163.0,3298,Brazil,Entertainment,22300.0,189650.0,357000.0
The Vishal bhatt,13700000,9596430464.0,1040,India,Comedy,1100000.0,9650000.0,18200000.0
NishaMadhulika,13700000,2939201386.0,2158,India,Howto,66700.0,583350.0,1100000.0
MyMissAnand,13700000,4963275018.0,340,India,Entertainment,83600.0,691800.0,1300000.0
FAPTV,13700000,5457203710.0,863,Vietnam,Comedy,105400.0,902700.0,1700000.0
Wesley Safadï¿½,13700000,8134379376.0,438,Brazil,Music,192200.0,1646100.0,3100000.0
infobells,13700000,5178142148.0,495,India,Education,71700.0,585850.0,1100000.0
Desi Gamers,13700000,2135195239.0,1,Unknown,Tech,0.02,0.13,0.24
Acenix,13600000,2122062016.0,368,Spain,Games,142300.0,1221150.0,2300000.0
Zeinab Harake,13600000,896891351.0,273,Philippines,People,36300.0,308250.0,580200.0
DALLMYD,13600000,1948925559.0,412,United States,Sports,92000.0,796000.0,1500000.0
Lindsey Stirling,13600000,3764608356.0,199,United States,Music,45800.0,389550.0,733300.0
JOJO TV - Hindi Stories,13600000,5141201173.0,1097,India,Film,32300.0,274500.0,516700.0
BBC,13600000,9685060624.0,16047,United Kingdom,Entertainment,133200.0,1116600.0,2100000.0
Saturday Night Live,13600000,14717282742.0,8335,United States,Comedy,169900.0,1434950.0,2700000.0
BUDI01 GAMING,13500000,1181292450.0,319,Indonesia,Games,40300.0,342600.0,644900.0
Typical Gamer,13500000,4301581610.0,4312,Canada,Games,97700.0,848850.0,1600000.0
Anaysa,13500000,3445794123.0,591,India,Howto,89100.0,744550.0,1400000.0
JULIA GISELLA,13500000,5380132790.0,19,United Kingdom,Music,5.0,41.5,78.0
Awakening Music,13500000,5545936485.0,814,United Kingdom,Music,105900.0,902950.0,1700000.0
Lady Diana,13500000,8265920659.0,1403,Ukraine,People,225500.0,1912750.0,3600000.0
Sanjoy Das Official,13500000,3912334359.0,1793,India,Games,537700.0,4568850.0,8600000.0
Woody & Kleiny,13500000,11717217293.0,975,United Kingdom,Entertainment,1500000.0,12650000.0,23800000.0
Vijay Kumar Viner Vlogs,13500000,7958771872.0,1357,India,Entertainment,329400.0,2814700.0,5300000.0
Conor Maynard,13500000,2750993392.0,321,United States,Music,32400.0,275100.0,517800.0
Wengie,13500000,1900272833.0,462,United States,Howto,4000.0,34050.0,64100.0
Vlad y Niki Show,13400000,4622628957.0,477,United States,Entertainment,276700.0,2338350.0,4400000.0
Codiscos,13400000,11789678655.0,7356,Colombia,Music,686700.0,5843350.0,11000000.0
The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,2139769210.0,1028,India,People,3100.0,26600.0,50100.0
Vibhu 96,13400000,20563378.0,256,India,Education,60800.0,516750.0,972700.0
Blockbuster Movies,13400000,2650061211.0,0,India,,0.0,0.0,0.0
ATHLEAN-Xï¿½,13400000,2319515787.0,1349,United States,Howto,43500.0,369700.0,695900.0
My Mate Nate,13400000,3363634923.0,1195,Thailand,Entertainment,125000.0,1062500.0,2000000.0
H2ODelirious,13400000,4356686216.0,3727,United States,Games,50400.0,428050.0,805700.0
GMA Integrated News,13400000,9569814790.0,296272,Philippines,News,346400.0,2923200.0,5500000.0
Peet Montzingo,13400000,10022557589.0,319,United States,People,1200000.0,10150000.0,19100000.0
The Q,13400000,4306212515.0,96,United States,Sports,0.01,0.07500000000000001,0.14
Trakin Tech,13300000,2262690743.0,3640,India,Tech,131000.0,1115500.0,2100000.0
theRadBrad,13300000,6050102764.0,8195,United States,Games,47100.0,400200.0,753300.0
Matt Steffanina,13300000,3299216601.0,331,United States,Entertainment,5800.0,49200.0,92600.0
Stray Kids,13300000,3364230487.0,3,Unknown,Comedy,0.01,0.055,0.1
Kurt Hugo Schneider,13300000,3733856870.0,698,United States,Entertainment,12700.0,107950.0,203200.0
Vogue,13300000,4177184071.0,3166,United States,People,135300.0,1167650.0,2200000.0
ýýýýýýýýýýýýýýýýýý,13300000,6482687220.0,608,Russia,Entertainment,270700.0,2285350.0,4300000.0
Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13300000,9088562002.0,2742,United States,Education,485700.0,4142850.0,7800000.0
VexTrex,13300000,7923901253.0,2411,Ukraine,Entertainment,0.0,0.0,0.0
penguinz0,13300000,7773543609.0,4613,United States,Entertainment,566800.0,4833400.0,9100000.0
Just For Laughs Gags,13300000,7406628736.0,6916,United States,Comedy,52400.0,445450.0,838500.0
Kabita's Kitchen,13300000,2831275503.0,1489,India,Howto,129400.0,1114700.0,2100000.0
BanderitaX,13300000,4129249415.0,1640,Saudi Arabia,Games,212100.0,1806050.0,3400000.0
